Year,Overall Economy (total GDP at basic prices a),Goods-Producing Industries b (11-33),"Primary Agriculture  (111-112, 1151-1152)",Mining and oil and gas extraction (21),Utilities (other than communications) (22),Construction (23),Manufacturing (31-33),Services Industries (41-91)
2007,659017.00,172537.00,4649.00,7491.00,13516.00,44335.00,101746.00,486771.00
2008,657146.00,164166.00,4875.00,8265.00,14517.00,42553.00,93183.00,493201.00
2009,635504.00,144479.00,4825.00,5473.00,14154.00,42119.00,77484.00,491032.00
2010,654983.00,152599.00,5092.00,6134.00,13893.00,44097.00,82839.00,502407.00
2011,672348.00,157764.00,5218.00,7745.00,14104.00,44604.00,85241.00,514611.00
2012,682023.00,160139.00,5279.00,7653.00,13550.00,45831.00,86988.00,521911.00
2013,691683.00,160833.00,5786.00,8329.00,13512.00,46150.00,86159.00,530845.00
2014,708788.00,164728.00,5699.00,8082.00,14191.00,47179.00,88755.00,544050.00
2015,727610.00,170131.00,6102.00,7729.00,13950.00,51080.00,90491.00,557474.00
2016,743976.00,172127.00,6177.00,7852.00,14345.00,51445.00,91512.00,571846.00
2017,764465.00,173735.00,6524.00,7685.00,14055.00,52856.00,91848.00,590729.00
2018,789532.00,181094.00,6749.00,7678.00,14320.00,56434.00,95138.00,608429.00
2019,807275.00,181174.00,7068.00,7405.00,14494.00,56870.00,94600.00,626103.00
2020,769942.00,173436.00,7558.00,6540.00,14413.00,58098.00,85929.00,596522.00
2021,809659.00,181084.00,7958.00,6484.00,13985.00,61464.00,90548.00,628592.00
2022,839497.00,184746.00,8137.00,6860.00,14161.00,60369.00,94792.00,654945.00
